fast_window,slow_window,split_idx,sharpe_ratio,total_return,max_drawdown,trade_count,dataset,selection_score,eligible_for_selection
48,72,0,-1.487872085839811,-0.060855910054888565,-0.10307020982328186,73,train,-0.060855910054888565,True
48,72,1,-2.2394353524881243,-0.08408220904306506,-0.10307020982328774,74,train,-0.08408220904306506,True
48,72,2,-2.539308296062275,-0.09360907984307948,-0.10196415372353207,76,train,-0.09360907984307948,True
48,72,3,-2.4222159431960266,-0.08793757324287219,-0.11155612479302468,77,train,-0.08793757324287219,True
48,96,0,-3.340269755081142,-0.12448226795133087,-0.1601925821152569,62,train,-0.12448226795133087,True
48,96,1,-3.847263685039382,-0.1363225132976437,-0.1594310780286644,62,train,-0.1363225132976437,True
48,96,2,-4.031689510592082,-0.14152952166049249,-0.1532546688417965,61,train,-0.14152952166049249,True
48,96,3,-3.3743210296727506,-0.11780707645501513,-0.12871883718876764,61,train,-0.11780707645501513,True
48,120,0,-3.277345586002714,-0.12070007922931575,-0.15474099558251964,52,train,-0.12070007922931575,True
48,120,1,-3.1852577774075574,-0.11311226998975701,-0.15096083127193882,50,train,-0.11311226998975701,True
48,120,2,-2.812208955300542,-0.10000937939962455,-0.1240152316543276,48,train,-0.10000937939962455,True
48,120,3,-2.157033403597247,-0.07712715626797638,-0.09440508387365665,48,train,-0.07712715626797638,True
48,144,0,-0.5133801565218147,-0.025674194644583623,-0.11497801834874566,41,train,-0.025674194644583623,True
48,144,1,-1.3880931031556967,-0.05516681564563748,-0.11497801834874544,41,train,-0.05516681564563748,True
48,144,2,-1.2758521120608473,-0.05043812242113893,-0.08497622013427808,40,train,-0.05043812242113893,True
48,144,3,-0.7042932235330359,-0.030165490022069662,-0.08427746579351236,40,train,-0.030165490022069662,True
48,168,0,-0.12076642553198845,-0.01146260953160322,-0.12119681506717284,31,train,-0.01146260953160322,True
48,168,1,-0.9902382546590647,-0.041539132725907396,-0.12119681506716806,31,train,-0.041539132725907396,True
48,168,2,-0.7666740697752429,-0.03317362393169742,-0.10274187275071978,31,train,-0.03317362393169742,True
48,168,3,-0.22810139501912394,-0.014046751467115542,-0.08325102614441737,31,train,-0.014046751467115542,True
48,192,0,0.32869432602053206,0.005044035488805093,-0.11584249497074506,30,train,0.005044035488805093,True
48,192,1,-0.6488627665727666,-0.029794431256444567,-0.1158424949707404,30,train,-0.029794431256444567,True
48,192,2,-0.37231653164117157,-0.019626209638711544,-0.0946405329642791,30,train,-0.019626209638711544,True
48,192,3,0.1371685641360622,-0.0015158942912680685,-0.07359191995565184,30,train,-0.0015158942912680685,True
48,240,0,1.0617874289793325,0.03223831829506548,-0.1069678841027949,24,train,0.03223831829506548,True
48,240,1,-0.03106439705232766,-0.0075011737780870365,-0.09932837163705255,24,train,-0.0075011737780870365,True
48,240,2,0.17153305179683542,-0.00041037932169467697,-0.08647848149353599,24,train,-0.00041037932169467697,True
48,240,3,1.0357770953983452,0.029677527217629177,-0.08304305712527926,22,train,0.029677527217629177,True
